Nintendo Switch Console Sales since March 3, 2017 (release)  until December 31, 2024 (last report from Nintendo Co.) - Source: https://www.nintendo.co.jp/ir/finance/historical_data/xls/consolidated_sales_e2403.xlsx (access in 2025-03-06);;;;;;;;;;
;;;;;;;;;;
Hardware ;Region;FY3/2017;FY3/2018;FY3/2019;FY3/2020;FY3/2021;FY3/2022;FY3/2023;FY3/2024;
;;;;;;;;;;
Base Model;Japan;60 ;378 ;385 ;321 ;478 ;256 ;95 ;61 ;
Base Model;The Americas;120 ;594 ;688 ;578 ;707 ;522 ;267 ;169 ;
Base Model;Europe;76 ;379 ;455 ;400 ;502 ;404 ;211 ;129 ;
Base Model;Other;18 ;154 ;169 ;185 ;345 ;174 ;40 ;27 ;
Base Model;World Total;274 ;1.505 ;1.695 ;1.483 ;2.032 ;1.356 ;614 ;386 ;
Lite Model;Japan;- ;- ;- ;200 ;181 ;102 ;58 ;75 ;
Lite Model;The Americas;- ;- ;- ;233 ;409 ;159 ;142 ;119 ;
Lite Model;Europe;- ;- ;- ;134 ;213 ;86 ;49 ;43 ;
Lite Model;Other;- ;- ;- ;53 ;48 ;22 ;13 ;15 ;
Lite Model;World Total;- ;- ;- ;619 ;851 ;370 ;262 ;252 ;
OLED Model;Japan;- ;- ;- ;- ;- ;161 ;284 ;305 ;
OLED Model;The Americas;- ;- ;- ;- ;- ;194 ;288 ;264 ;
OLED Model;Europe;- ;- ;- ;- ;- ;112 ;238 ;219 ;
OLED Model;Other;- ;- ;- ;- ;- ;113 ;112 ;144 ;
OLED Model;World Total;- ;- ;- ;- ;- ;580 ;922 ;932 ;
